date,exercise,sets,reps,weight
2021-06-10,1.5 Side Lateral Raise,1,12.0,2.5
2021-06-10,1.5 Side Lateral Raise,1,12.0,2.5
2021-06-10,1.5 Side Lateral Raise,1,12.0,2.5
2021-06-10,Dumbell Shoulder Press,1,10.0,7.5
2021-06-10,Dumbell Shoulder Press,1,10.0,7.5
2021-06-10,Dumbell Shoulder Press,1,10.0,10.0
2021-06-10,Dumbell Shoulder Press,1,10.0,7.5
2021-06-10,Dumbell Waiter Curls,1,10.0,12.5
2021-06-10,Dumbell Waiter Curls,1,10.0,10.0
2021-06-10,Dumbell Waiter Curls,1,10.0,10.0
2021-06-10,Flat Barbell Bench Press,1,11.0,50.0
2021-06-10,Flat Barbell Bench Press,1,5.0,50.0
2021-06-10,Flat Barbell Bench Press,1,4.0,55.0
2021-06-10,Hi-to-Low Crossover,1,10.0,20.0
2021-06-10,Hi-to-Low Crossover,1,10.0,30.0
2021-06-10,Hi-to-Low Crossover,1,10.0,40.0
2021-06-10,Lying Triceps Extension,1,10.0,7.5
2021-06-10,Lying Triceps Extension,1,10.0,7.5
2021-06-10,Lying Triceps Extension,1,10.0,7.5
2021-06-10,Pec Deck Machine,1,5.0,60.0
2021-06-10,Pec Deck Machine,1,8.0,80.0
2021-06-10,Pec Deck Machine,1,12.0,70.0
2021-07-10,Barbell Squat,1,5.0,75.0
2021-07-10,Barbell Squat,1,6.0,70.0
2021-07-10,Barbell Squat,1,5.0,70.0
2021-07-10,Barbell Squat,1,6.0,50.0
2021-07-10,Dumbell Alternate Reverse Lunges,1,10.0,10.0
2021-07-10,Dumbell Alternate Reverse Lunges,1,10.0,7.5
2021-07-10,Dumbell Alternate Reverse Lunges,1,10.0,7.5
2021-07-10,Lying Leg Curl Machine,1,10.0,20.0
2021-07-10,Lying Leg Curl Machine,1,8.0,30.0
2021-07-10,Lying Leg Curl Machine,1,12.0,20.0
2021-07-10,Romanian Deadlift,1,10.0,7.5
2021-07-10,Romanian Deadlift,1,10.0,7.5
2021-07-10,Romanian Deadlift,1,10.0,7.5
2021-07-10,Seated Leg Curl Machine,1,10.0,30.0
2021-07-10,Seated Leg Curl Machine,1,10.0,40.0
2021-07-10,Seated Leg Curl Machine,1,10.0,40.0
2021-07-10,Standing Calf Raises,1,15.0,10.0
2021-07-10,Standing Calf Raises,1,15.0,7.5
2021-07-10,Standing Calf Raises,1,20.0,7.5
2021-09-10,Barbell Curl,1,8.0,15.0
2021-09-10,Barbell Curl,1,6.0,20.0
2021-09-10,Barbell Curl,1,6.0,20.0
2021-09-10,Cable Face Pull,1,10.0,30.0
2021-09-10,Cable Face Pull,1,15.0,30.0
2021-09-10,Dumbbell Curl,1,7.0,7.5
2021-09-10,Dumbbell Curl,1,7.0,7.5
2021-09-10,Dumbbell Curl,1,7.0,7.5
2021-09-10,Dumbell Gorilla Row,1,10.0,12.5
2021-09-10,Dumbell Gorilla Row,1,10.0,20.0
2021-09-10,Dumbell Gorilla Row,1,10.0,20.0
2021-09-10,Lat Pulldown,1,10.0,60.0
2021-09-10,Lat Pulldown,1,10.0,50.0
2021-09-10,Lat Pulldown,1,10.0,60.0
2021-09-10,Snatch Grip Deadlift,1,5.0,60.0
2021-09-10,Snatch Grip Deadlift,1,5.0,60.0
2021-09-10,Snatch Grip Deadlift,1,5.0,75.0
2021-09-10,Straight-Arm Cable Pushdown,1,13.0,50.0
2021-09-10,Straight-Arm Cable Pushdown,1,13.0,50.0
2021-09-10,Straight-Arm Cable Pushdown,1,13.0,60.0
2021-09-10,Tricep Pushdowns,1,12.0,70.0
2021-09-10,Tricep Pushdowns,1,15.0,50.0
2021-09-10,Tricep Pushdowns,1,12.0,40.0
2021-10-10,Abduction Rows,1,10.0,12.5
2021-10-10,Abduction Rows,1,10.0,12.5
2021-10-10,Abduction Rows,1,10.0,12.5
2021-10-10,Cable Curl,1,10.0,60.0
2021-10-10,Cable Curl,1,10.0,60.0
2021-10-10,Cable Curl,1,10.0,60.0
2021-10-10,Close Grip Barbell Bench Press,1,8.0,50.0
2021-10-10,Close Grip Barbell Bench Press,1,8.0,50.0
2021-10-10,Close Grip Barbell Bench Press,1,8.0,50.0
2021-10-10,Dumbell Floor Flys,1,10.0,12.5
2021-10-10,Dumbell Floor Flys,1,10.0,10.0
2021-10-10,Dumbell Floor Flys,1,10.0,12.5
2021-10-10,Dumbell Underhead Bench Press,1,10.0,7.5
2021-10-10,Dumbell Underhead Bench Press,1,8.0,12.5
2021-10-10,Dumbell Underhead Bench Press,1,10.0,10.0
2021-10-10,Overhead Press,1,6.0,30.0
2021-10-10,Overhead Press,1,6.0,20.0
2021-10-10,Overhead Press,1,6.0,25.0
2021-10-10,Overhead Press,1,6.0,25.0
2021-10-10,Pec Deck Machine,1,5.0,50.0
2021-10-10,Pec Deck Machine,1,10.0,60.0
2021-10-10,Pec Deck Machine,1,10.0,60.0
2021-10-10,Pushups,1,10.0,0.0
2021-10-10,Pushups,1,10.0,0.0
2021-10-10,Pushups,1,10.0,0.0
2021-11-10,Barbell Hip Thrusts,1,10.0,30.0
2021-11-10,Barbell Hip Thrusts,1,10.0,20.0
2021-11-10,Barbell Hip Thrusts,1,10.0,30.0
2021-11-10,Barbell Squat,1,6.0,60.0
2021-11-10,Barbell Squat,1,6.0,65.0
2021-11-10,Barbell Squat,1,6.0,70.0
2021-11-10,Barbell Squat,1,6.0,65.0
2021-11-10,Dumbell Alternate Reverse Lunges,1,10.0,7.5
2021-11-10,Dumbell Alternate Reverse Lunges,1,10.0,7.5
2021-11-10,Dumbell Alternate Reverse Lunges,1,10.0,10.0
2021-11-10,Dumbell Seated Calf Raises,1,15.0,12.5
2021-11-10,Dumbell Seated Calf Raises,1,15.0,12.5
2021-11-10,Dumbell Seated Calf Raises,1,15.0,12.5
2021-11-10,Hanging Leg Raise,1,10.0,0.0
2021-11-10,Lying Leg Curl Machine,1,10.0,30.0
2021-11-10,Lying Leg Curl Machine,1,10.0,20.0
2021-11-10,Lying Leg Curl Machine,1,10.0,20.0
2021-11-10,Seated Leg Curl Machine,1,10.0,40.0
2021-11-10,Seated Leg Curl Machine,1,10.0,40.0
2021-11-10,Seated Leg Curl Machine,1,10.0,40.0
2021-11-10,Seated Leg Curl Machine,1,10.0,50.0
2021-11-10,Slick Floor Bridge Curls,1,10.0,0.0
2021-11-10,Slick Floor Bridge Curls,1,10.0,0.0
2021-11-10,Slick Floor Bridge Curls,1,10.0,0.0
2021-10-13,Angels & Devils,1,10.0,0.0
2021-10-13,Angels & Devils,1,20.0,0.0
2021-10-13,Angels & Devils,1,15.0,0.0
2021-10-13,Cable Overhead Triceps Extension,1,12.0,30.0
2021-10-13,Cable Overhead Triceps Extension,1,5.0,40.0
2021-10-13,Cable Overhead Triceps Extension,1,10.0,30.0
2021-10-13,Cable Overhead Triceps Extension,1,12.0,30.0
2021-10-13,Chest Supported Row,1,10.0,30.0
2021-10-13,Chest Supported Row,1,10.0,35.0
2021-10-13,Chest Supported Row,1,10.0,35.0
2021-10-13,Chin Up,1,6.0,0.0
2021-10-13,Chin Up,1,5.0,0.0
2021-10-13,Chin Up,1,6.0,0.0
2021-10-13,Deadlift,1,1.0,75.0
2021-10-13,Deadlift,1,1.0,75.0
2021-10-13,Deadlift,1,1.0,75.0
2021-10-13,Deadlift,1,1.0,75.0
2021-10-13,Deadlift,1,1.0,75.0
2021-10-13,Dumbbell Hammer Curl,1,8.0,7.5
2021-10-13,Dumbbell Hammer Curl,1,8.0,10.0
2021-10-13,Dumbbell Hammer Curl,1,8.0,7.5
2021-10-13,Dumbell High Pull,1,10.0,7.5
2021-10-13,Dumbell High Pull,1,10.0,7.5
2021-10-13,Dumbell High Pull,1,10.0,7.5
2021-10-13,Dumbell Pullover,1,10.0,12.5
2021-10-13,Dumbell Pullover,1,10.0,12.5
2021-10-13,Dumbell Pullover,1,10.0,20.0
2021-10-13,Dumbell Waiter Curls,1,10.0,10.0
2021-10-13,Rocking Pulldown,1,10.0,50.0
2021-10-13,Rocking Pulldown,1,11.0,60.0
2021-10-13,Rocking Pulldown,1,10.0,60.0
2021-10-13,Rocking Pulldown,1,10.0,50.0
2021-10-14,1.5 Side Lateral Raise,1,12.0,2.5
2021-10-14,1.5 Side Lateral Raise,1,12.0,2.5
2021-10-14,1.5 Side Lateral Raise,1,12.0,2.5
2021-10-14,Dumbell Shoulder Press,1,10.0,7.5
2021-10-14,Dumbell Shoulder Press,1,10.0,7.5
2021-10-14,Dumbell Shoulder Press,1,10.0,10.0
2021-10-14,Dumbell Shoulder Press,1,10.0,7.5
2021-10-14,Dumbell Waiter Curls,1,10.0,10.0
2021-10-14,Dumbell Waiter Curls,1,12.0,12.5
2021-10-14,Dumbell Waiter Curls,1,10.0,12.5
2021-10-14,Flat Barbell Bench Press,1,6.0,50.0
2021-10-14,Flat Barbell Bench Press,1,7.0,50.0
2021-10-14,Flat Barbell Bench Press,1,5.0,50.0
2021-10-14,Flat Barbell Bench Press,1,6.0,50.0
2021-10-14,Hi-to-Low Crossover,1,10.0,50.0
2021-10-14,Hi-to-Low Crossover,1,11.0,40.0
2021-10-14,Hi-to-Low Crossover,1,10.0,30.0
2021-10-14,Lying Triceps Extension,1,10.0,7.5
2021-10-14,Lying Triceps Extension,1,10.0,7.5
2021-10-14,Lying Triceps Extension,1,10.0,7.5
2021-10-14,Pec Deck Machine,1,10.0,60.0
2021-10-14,Pec Deck Machine,1,10.0,60.0
2021-10-14,Pec Deck Machine,1,10.0,60.0
2021-10-15,Barbell Hip Thrusts,1,10.0,30.0
2021-10-15,Barbell Hip Thrusts,1,10.0,30.0
2021-10-15,Barbell Hip Thrusts,1,10.0,20.0
